,Exam,Peer Evaluations,Homework,Quiz
Exam,1.0,0.6390876275658846,0.6106877999860001,0.7672247683787811
Peer Evaluations,0.6390876275658846,1.0,0.6527727497267912,0.523848556782019
Homework,0.6106877999860001,0.6527727497267912,1.0,0.7081448406488697
Quiz,0.7672247683787811,0.523848556782019,0.7081448406488697,1.0
