vertex,authority,hub
2,0.8124247455634217,0.014909574138507017
1,0.497407212390728,0.17317198587768437
6,0.17082046587297034,0.24533871554636988
13,0.14348985668509281,0.0
19,0.11101575781329355,0.0
39,0.08850014987786564,0.09010950827299108
0,0.0823013004099428,0.29847184131791904
4,0.07890295029478697,0.31433850116073175
43,0.0570453596590891,0.0
10,0.055905414225861726,0.0
36,0.04444517583883497,0.0
28,0.03566806198728655,0.0
17,4.1420246207276335e-149,0.030945566930552088
29,4.1420246207276335e-149,0.014909574138507017
5,0.0,0.30455786388243716
12,0.0,0.2682326643254786
33,0.0,0.2515810317715082
11,0.0,0.2372870973949265
7,0.0,0.1839656414678327
15,0.0,0.1471775891219354
16,0.0,0.1471775891219354
20,0.0,0.1471775891219354
21,0.0,0.1471775891219354
23,0.0,0.1471775891219354
24,0.0,0.1471775891219354
25,0.0,0.1471775891219354
27,0.0,0.1471775891219354
30,0.0,0.1471775891219354
34,0.0,0.1471775891219354
35,0.0,0.1471775891219354
37,0.0,0.1471775891219354
45,0.0,0.1471775891219354
48,0.0,0.1471775891219354
8,0.0,0.1471775891219354
9,0.0,0.1050190824114981
14,0.0,0.09010950827299108
18,0.0,0.09010950827299108
22,0.0,0.09010950827299108
26,0.0,0.09010950827299108
38,0.0,0.09010950827299108
46,0.0,0.09010950827299108
47,0.0,0.09010950827299108
32,0.0,0.030945566930552088
3,0.0,0.014909574138507017
49,0.0,0.01033424763470973
44,0.0,0.010127736912936216
41,0.0,0.006461570010770652
42,0.0,0.006461570010770652
31,0.0,7.503626657009584e-150
40,0.0,7.503626657009584e-150
